data,geada_risco_Machado,geada_risco_Manhuacu,geada_risco_Patrocinio,geada_risco_Varginha,graus_frio_Machado,graus_frio_Manhuacu,graus_frio_Patrocinio,graus_frio_Varginha,precip_mm_sum_Machado,precip_mm_sum_Manhuacu,precip_mm_sum_Patrocinio,precip_mm_sum_Varginha,pressao_mB_mean_Machado,pressao_mB_mean_Manhuacu,pressao_mB_mean_Patrocinio,pressao_mB_mean_Varginha,radiacao_kJm2_sum_Machado,radiacao_kJm2_sum_Manhuacu,radiacao_kJm2_sum_Patrocinio,radiacao_kJm2_sum_Varginha,temp_ar_C_mean_Machado,temp_ar_C_mean_Manhuacu,temp_ar_C_mean_Patrocinio,temp_ar_C_mean_Varginha,temp_max_C_max_Machado,temp_max_C_max_Manhuacu,temp_max_C_max_Patrocinio,temp_max_C_max_Varginha,temp_min_C_min_Machado,temp_min_C_min_Manhuacu,temp_min_C_min_Patrocinio,temp_min_C_min_Varginha,umidade_pct_mean_Machado,umidade_pct_mean_Manhuacu,umidade_pct_mean_Patrocinio,umidade_pct_mean_Varginha,vento_rajada_ms_max_Machado,vento_rajada_ms_max_Manhuacu,vento_rajada_ms_max_Patrocinio,vento_rajada_ms_max_Varginha,vento_vel_ms_mean_Machado,vento_vel_ms_mean_Manhuacu,vento_vel_ms_mean_Patrocinio,vento_vel_ms_mean_Varginha
2019-06-09,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.7916666666666,928.5916666666668,910.9083333333332,914.85,16761.3,22090.0,17945.9,17765.9,16.133333333333333,16.025000000000002,16.070833333333333,15.716666666666669,22.2,23.2,24.7,22.7,11.8,7.5,9.5,9.3,70.375,72.41666666666667,75.70833333333333,72.125,7.0,8.7,5.8,8.5,1.9,1.7083333333333333,0.4041666666666666,2.075
2019-06-10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.5416666666666,929.2833333333332,911.4458333333332,915.4875,16710.0,15381.8,18341.5,17774.4,16.712500000000002,17.233333333333334,16.145833333333332,16.208333333333332,22.2,22.8,24.8,22.8,11.8,11.0,10.3,10.8,66.33333333333333,76.66666666666667,74.125,68.20833333333333,9.2,7.1,7.3,9.0,2.0708333333333333,1.6583333333333334,0.6333333333333334,1.9958333333333331
2019-06-11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.5541666666668,928.5166666666668,910.9833333333332,914.5541666666668,15941.8,16109.1,17734.1,14855.2,17.474999999999998,18.429166666666667,16.620833333333334,17.025000000000002,23.6,24.9,25.8,24.4,10.2,13.9,9.0,11.6,69.04166666666667,79.45833333333333,71.16666666666667,73.83333333333333,6.1,9.9,7.4,5.3,1.1208333333333331,2.2958333333333334,0.45,1.0625
2019-06-12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.75,928.925,910.9791666666666,914.7416666666668,15989.0,13857.5,16956.6,16000.9,18.370833333333334,18.579166666666666,18.066666666666663,18.004166666666666,24.2,23.8,26.1,25.4,13.4,14.0,12.0,11.6,72.625,80.79166666666667,77.66666666666667,74.375,6.2,9.9,8.4,6.8,0.9458333333333332,2.2291666666666665,0.9541666666666666,1.4708333333333332
2019-06-13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.4625,929.425,911.5708333333332,915.3958333333334,15345.9,15128.2,16337.6,14012.8,19.266666666666666,18.9625,19.129166666666663,18.929166666666667,24.7,24.8,26.5,25.8,15.3,14.0,13.9,14.7,75.04166666666667,80.08333333333333,75.08333333333333,74.70833333333333,6.5,7.7,7.0,5.1,0.9625,1.5458333333333334,0.6458333333333334,1.7666666666666666
2019-06-14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.7708333333334,929.5125,912.1125,915.6875,14350.9,15976.2,14918.6,15185.0,19.404166666666665,19.216666666666665,18.0875,18.754166666666663,25.0,25.8,26.1,26.2,14.0,14.8,12.6,12.9,69.08333333333333,76.16666666666667,75.5,70.41666666666667,6.9,6.2,5.4,5.6,1.1375,1.0791666666666666,0.4291666666666667,1.4708333333333334
2019-06-15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.2,929.1833333333334,911.5875,915.1083333333332,16348.4,20249.8,15383.2,12822.5,19.4125,18.316666666666663,17.508333333333333,18.979166666666668,24.5,25.1,26.1,25.4,14.1,11.2,10.5,13.0,66.70833333333333,75.0,77.54166666666667,67.25,6.0,8.6,5.8,7.1,1.1875,1.8458333333333328,0.4041666666666666,1.9791666666666667
2019-06-16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.7875,929.3458333333332,912.5291666666668,915.7291666666666,12733.4,21588.5,16052.3,10400.7,18.85833333333333,18.954166666666666,17.9875,18.875,24.2,26.0,25.6,25.0,14.6,14.7,12.6,14.5,67.54166666666667,72.16666666666667,72.25,66.625,6.1,6.0,6.3,5.5,0.8583333333333334,1.1916666666666669,0.4416666666666666,1.1541666666666666
2019-06-17,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.0291666666668,928.5791666666668,911.4958333333334,914.9583333333334,11764.1,22087.3,16174.1,10151.2,17.804166666666667,18.2875,16.441666666666666,18.0,22.9,25.2,24.9,22.8,13.9,12.1,9.3,13.6,68.625,73.58333333333333,74.16666666666667,66.41666666666667,6.6,7.0,5.2,8.7,1.0458333333333334,1.5083333333333335,0.3833333333333333,2.0
2019-06-18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.725,928.0541666666668,910.3041666666668,913.7083333333334,15099.9,10796.2,13380.0,15426.9,17.645833333333332,17.2625,17.516666666666666,17.6375,23.6,22.1,25.4,24.5,12.4,13.2,10.2,11.4,70.08333333333333,83.33333333333333,74.08333333333333,68.54166666666667,5.2,5.2,7.7,8.2,1.0875,1.0166666666666666,0.875,1.3
2019-06-19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.5208333333334,927.4333333333334,910.6791666666668,913.5291666666668,12852.4,14712.0,16300.3,12753.5,18.775,17.974999999999998,17.904166666666665,17.558333333333334,25.3,24.1,26.7,24.5,13.9,12.3,9.9,11.2,65.41666666666667,77.08333333333333,71.33333333333333,71.04166666666667,7.1,5.8,6.2,7.6,1.0958333333333334,1.3208333333333333,0.5750000000000001,0.9708333333333332
2019-06-20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.7458333333334,928.3625,911.6166666666668,914.7375,15976.0,13359.5,17223.4,16709.6,18.891666666666666,16.533333333333335,17.6375,17.520833333333332,24.7,24.3,26.4,25.5,14.1,11.9,10.4,10.5,62.75,76.95833333333333,69.66666666666667,69.375,7.8,5.0,6.4,5.3,1.65,0.7374999999999999,0.5,1.3875
2019-06-21,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.625,931.3583333333332,913.4541666666668,917.5666666666666,10336.4,9707.8,17418.0,11130.3,17.508333333333333,15.875,16.220833333333335,17.533333333333335,23.1,22.2,24.8,24.5,13.9,10.0,9.4,12.1,76.54166666666667,83.25,71.91666666666667,74.29166666666667,5.3,6.4,8.5,8.3,1.4708333333333334,1.5458333333333334,0.5916666666666667,2.3916666666666666
2019-06-22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,915.3541666666666,932.2791666666668,914.5875,918.2958333333332,14174.2,19112.0,17246.9,13267.6,17.3125,17.462500000000002,16.320833333333333,17.6125,23.2,23.8,24.9,23.5,13.1,11.1,10.4,12.9,73.875,77.41666666666667,75.91666666666667,69.58333333333333,6.4,6.9,6.8,8.6,1.1583333333333334,1.95,0.7000000000000001,2.129166666666667
2019-06-23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.7416666666668,929.7708333333334,912.425,915.7166666666668,13358.8,11052.3,17128.6,13734.4,17.825,17.974999999999998,15.8,17.691666666666666,23.9,22.2,24.8,23.9,14.4,15.0,9.5,14.0,67.5,80.875,77.45833333333333,68.75,7.5,6.5,7.7,7.3,1.2875,1.1166666666666667,0.8166666666666668,1.2208333333333334
2019-06-24,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908.9541666666668,925.8,909.0,911.9916666666668,16532.8,12230.1,14420.2,16611.7,17.795833333333334,18.55,16.420833333333334,16.758333333333333,23.6,24.3,25.7,24.2,12.5,15.5,8.1,9.4,66.83333333333333,83.20833333333333,76.33333333333333,70.58333333333333,7.4,5.6,8.9,6.4,0.9916666666666668,0.6916666666666668,0.95,0.9291666666666668
2019-06-25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,906.9458333333332,924.7125,907.2125,909.9958333333334,16765.0,16766.9,15459.4,14830.7,19.416666666666668,17.808333333333334,18.275,17.845833333333335,25.6,25.3,26.9,25.9,13.9,12.8,10.2,10.3,67.0,83.70833333333333,72.58333333333333,71.54166666666667,8.4,7.8,10.6,7.9,1.1583333333333334,1.2375,1.4958333333333331,1.0541666666666667
2019-06-26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,907.1083333333332,925.6583333333332,907.9125,910.2083333333334,15673.5,18084.0,16827.6,15285.0,21.445833333333336,18.604166666666668,20.745833333333334,20.9625,27.3,26.2,27.7,27.8,16.6,12.8,14.7,14.3,61.875,80.04166666666667,60.083333333333336,60.083333333333336,9.8,8.3,10.5,11.2,1.4,1.6625,1.8916666666666664,1.8458333333333328
2019-06-27,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.4166666666666,927.25,909.4375,912.4583333333334,15642.5,13993.6,13483.2,15014.2,20.929166666666667,19.491666666666667,18.883333333333333,20.5875,26.3,26.5,27.3,27.1,15.3,15.4,12.7,15.2,58.75,76.66666666666667,64.41666666666667,53.208333333333336,7.3,5.6,8.8,6.9,1.0333333333333334,1.2541666666666669,0.625,1.3375
2019-06-28,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.775,928.2125,910.1583333333332,913.7625,15834.4,21199.6,15858.0,16588.8,20.1375,19.1,18.25,19.4,26.3,25.1,26.7,27.0,16.1,14.9,12.1,12.7,62.458333333333336,72.41666666666667,71.66666666666667,64.41666666666667,8.3,9.2,9.2,7.6,1.825,1.7375,0.7541666666666668,2.1333333333333333
2019-06-29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.2916666666666,927.9791666666666,909.775,913.2333333333332,16478.8,16083.4,16448.3,17376.8,19.17083333333333,17.158333333333335,17.75,18.541666666666668,24.9,23.1,25.6,26.0,14.7,12.3,11.7,12.7,65.70833333333333,78.375,75.16666666666667,66.25,6.4,10.0,8.2,5.8,1.3333333333333333,2.0458333333333334,1.2916666666666667,1.575
2019-06-30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.725,926.7958333333332,909.6916666666666,912.75,16589.8,12999.9,17389.5,15126.3,19.20833333333333,17.662499999999998,17.695833333333333,17.845833333333335,24.9,23.7,26.0,25.5,13.4,11.1,11.2,11.4,68.83333333333333,81.25,75.04166666666667,70.83333333333333,7.6,6.8,7.2,6.2,1.3041666666666667,1.0541666666666667,0.7625000000000001,1.3291666666666668
2019-07-01,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908.15,924.8708333333334,908.5958333333332,911.1875,16528.8,20643.7,17237.1,16693.2,19.941666666666663,18.775,17.366666666666667,17.929166666666667,25.7,26.5,27.2,25.7,14.6,13.3,8.9,10.9,64.375,77.41666666666667,70.83333333333333,66.70833333333333,5.8,7.9,6.3,7.3,0.85,1.3875,0.4791666666666667,0.9
2019-07-02,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,904.05,921.1916666666666,904.9,907.0916666666668,14992.0,20479.0,17263.3,15652.1,19.0,17.4375,17.154166666666665,17.75,24.6,26.1,26.4,25.4,12.7,9.9,8.6,11.4,66.16666666666667,73.625,68.625,66.66666666666667,8.6,8.6,10.3,8.4,1.0958333333333334,1.5708333333333335,1.0083333333333333,1.6708333333333334
2019-07-03,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.0791666666668,920.4125,904.5,906.1625,15113.1,20500.3,13905.8,14745.5,19.95,17.537499999999998,17.5,18.98333333333333,26.4,27.1,27.8,26.1,14.8,10.3,9.3,12.8,58.5,72.33333333333333,65.29166666666667,60.208333333333336,9.3,9.8,9.3,11.2,1.0,1.5083333333333335,1.0083333333333333,1.6625
2019-07-04,0,0,0,0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,903.8625,921.0416666666666,905.5041666666666,907.0541666666668,11345.7,21311.4,11498.1,12946.8,19.1375,18.954166666666666,17.837500000000002,18.9625,26.2,28.6,27.8,26.3,14.7,11.4,9.3,12.8,64.16666666666667,63.708333333333336,66.08333333333333,62.375,15.4,9.7,10.3,14.5,1.5,1.3208333333333333,1.3125,1.6916666666666669
2019-07-05,0,0,0,0,0.0,0.0,0.0,0.0,18.2,2.6,0.0,0.0,905.6958333333332,921.95,907.7833333333332,908.7208333333332,6776.5,18304.7,12297.6,6931.2,16.783333333333335,18.641666666666666,17.870833333333334,17.275000000000002,19.7,28.5,25.7,20.8,13.1,11.5,11.1,15.6,89.5,71.20833333333333,82.625,87.91666666666667,11.9,17.5,10.1,12.7,1.7875,1.95,1.4833333333333334,2.908333333333333
