date,preco_cafe,cambio_brl
2021-12-16,236.9499969482422,5.6793999671936035
2021-12-17,235.89999389648438,5.687399864196777
2021-12-20,224.39999389648438,5.693059921264648
2021-12-21,228.25,5.741300106048584
2021-12-22,233.5500030517578,5.74399995803833
2021-12-23,231.1999969482422,5.6529998779296875
2021-12-27,227.0500030517578,5.67110013961792
2021-12-28,225.60000610351562,5.624100208282471
2021-12-29,228.89999389648438,5.627500057220459
2021-12-30,228.85000610351562,5.702700138092041
2021-12-31,226.10000610351562,5.570199966430664
2022-01-03,223.3000030517578,5.569300174713135
2022-01-04,231.75,5.68120002746582
2022-01-05,231.75,5.676199913024902
2022-01-06,231.6999969482422,5.705635070800781
2022-01-07,238.4499969482422,5.682400226593018
2022-01-10,234.89999389648438,5.632199764251709
2022-01-11,237.0500030517578,5.662199974060059
2022-01-12,240.85000610351562,5.567299842834473
2022-01-13,237.0,5.533199787139893
2022-01-14,239.64999389648438,5.526700019836426
2022-01-18,239.60000610351562,5.5157999992370605
2022-01-19,244.4499969482422,5.565700054168701
2022-01-20,243.64999389648438,5.43720006942749
2022-01-21,237.89999389648438,5.418099880218506
2022-01-24,232.9499969482422,5.457099914550781
2022-01-25,237.89999389648438,5.486100196838379
2022-01-26,238.89999389648438,5.440703868865967
2022-01-27,232.0500030517578,5.429166793823242
2022-01-28,235.89999389648438,5.40348482131958
2022-01-31,235.10000610351562,5.362599849700928
2022-02-01,236.6999969482422,5.303100109100342
2022-02-02,238.8000030517578,5.264500141143799
2022-02-03,243.89999389648438,5.260900020599365
2022-02-04,241.85000610351562,5.282899856567383
2022-02-07,241.64999389648438,5.326900005340576
2022-02-08,248.9499969482422,5.262599945068359
2022-02-09,258.3500061035156,5.258399963378906
2022-02-10,255.1999969482422,5.234499931335449
2022-02-11,251.64999389648438,5.248700141906738
2022-02-14,247.5500030517578,5.249956130981445
2022-02-15,251.85000610351562,5.214000225067139
2022-02-16,252.25,5.157899856567383
2022-02-17,251.5,5.135799884796143
2022-02-18,246.85000610351562,5.170599937438965
2022-02-22,248.4499969482422,5.102700233459473
2022-02-23,248.60000610351562,5.05709981918335
2022-02-24,239.35000610351562,5.008699893951416
2022-02-25,240.0500030517578,5.122200012207031
2022-02-28,234.25,5.15939998626709
2022-03-01,237.25,5.158400058746338
2022-03-02,230.4499969482422,5.158999919891357
2022-03-03,224.14999389648438,5.096502780914307
2022-03-04,224.14999389648438,5.030900001525879
2022-03-07,225.5,5.06056022644043
2022-03-08,234.0500030517578,5.110499858856201
2022-03-09,230.4499969482422,5.058800220489502
2022-03-10,225.1999969482422,5.011499881744385
2022-03-11,222.9499969482422,5.009699821472168
2022-03-14,219.64999389648438,5.073500156402588
2022-03-15,212.3000030517578,5.121399879455566
2022-03-16,218.60000610351562,5.1631999015808105
2022-03-17,217.3000030517578,5.0738749504089355
2022-03-18,220.3000030517578,5.039400100708008
2022-03-21,225.85000610351562,5.0177998542785645
2022-03-22,225.0500030517578,4.935200214385986
2022-03-23,225.3000030517578,4.909999847412109
2022-03-24,221.85000610351562,4.82420015335083
2022-03-25,221.85000610351562,4.826300144195557
2022-03-28,214.5500030517578,4.7368998527526855
2022-03-29,215.6999969482422,4.764100074768066
2022-03-30,221.85000610351562,4.756199836730957
2022-03-31,226.39999389648438,4.769700050354004
2022-04-01,228.39999389648438,4.737800121307373
2022-04-04,230.60000610351562,4.657199859619141
2022-04-05,231.3000030517578,4.593800067901611
2022-04-06,227.60000610351562,4.650700092315674
2022-04-07,226.14999389648438,4.715199947357178
2022-04-08,231.64999389648438,4.752099990844727
2022-04-11,236.60000610351562,4.6981000900268555
2022-04-12,233.60000610351562,4.693600177764893
2022-04-13,225.0500030517578,4.673099994659424
2022-04-14,223.60000610351562,4.690199851989746
2022-04-18,223.5,4.7006001472473145
2022-04-19,221.3000030517578,4.6519999504089355
2022-04-20,218.8000030517578,4.664999961853027
2022-04-21,228.14999389648438,4.620800018310547
2022-04-22,227.3000030517578,4.620800018310547
2022-04-25,220.8000030517578,4.795199871063232
2022-04-26,221.39999389648438,4.876200199127197
2022-04-27,215.9499969482422,4.997799873352051
2022-04-28,217.89999389648438,4.963600158691406
2022-04-29,222.5500030517578,4.93779993057251
2022-05-02,216.39999389648438,4.97130012512207
2022-05-03,218.1999969482422,5.084700107574463
2022-05-04,221.1999969482422,4.958099842071533
2022-05-05,218.39999389648438,4.918799877166748
2022-05-06,211.60000610351562,5.0279998779296875
2022-05-09,206.3000030517578,5.080399990081787
2022-05-10,204.0,5.160900115966797
2022-05-11,220.10000610351562,5.13129997253418
2022-05-12,215.0,5.134252071380615
2022-05-13,212.89999389648438,5.133399963378906
2022-05-16,225.8000030517578,5.058300018310547
2022-05-17,228.1999969482422,5.059700012207031
