date,preco_cafe,cambio_brl,geada_risco_Machado,geada_risco_Manhuacu,geada_risco_Patrocinio,geada_risco_Varginha,graus_frio_Machado,graus_frio_Manhuacu,graus_frio_Patrocinio,graus_frio_Varginha,precip_mm_sum_Machado,precip_mm_sum_Manhuacu,precip_mm_sum_Patrocinio,precip_mm_sum_Varginha,pressao_mB_mean_Machado,pressao_mB_mean_Manhuacu,pressao_mB_mean_Patrocinio,pressao_mB_mean_Varginha,radiacao_kJm2_sum_Machado,radiacao_kJm2_sum_Manhuacu,radiacao_kJm2_sum_Patrocinio,radiacao_kJm2_sum_Varginha,temp_ar_C_mean_Machado,temp_ar_C_mean_Manhuacu,temp_ar_C_mean_Patrocinio,temp_ar_C_mean_Varginha,temp_max_C_max_Machado,temp_max_C_max_Manhuacu,temp_max_C_max_Patrocinio,temp_max_C_max_Varginha,temp_min_C_min_Machado,temp_min_C_min_Manhuacu,temp_min_C_min_Patrocinio,temp_min_C_min_Varginha,umidade_pct_mean_Machado,umidade_pct_mean_Manhuacu,umidade_pct_mean_Patrocinio,umidade_pct_mean_Varginha,vento_rajada_ms_max_Machado,vento_rajada_ms_max_Manhuacu,vento_rajada_ms_max_Patrocinio,vento_rajada_ms_max_Varginha,vento_vel_ms_mean_Machado,vento_vel_ms_mean_Manhuacu,vento_vel_ms_mean_Patrocinio,vento_vel_ms_mean_Varginha
2020-07-20,98.5,5.385300159454346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,0.0,0.0,911.6319444444445,928.975,910.9305555555555,914.6277777777777,50263.100000000006,46346.8,54904.100000000006,52295.0,17.59722222222222,16.941666666666666,16.23611111111111,17.49861111111111,24.4,24.4,25.5,25.5,11.4,9.7,7.9,10.0,64.75,79.68055555555556,69.40277777777777,65.47222222222221,8.666666666666666,7.633333333333333,8.933333333333334,8.4,1.7194444444444443,1.5999999999999999,0.888888888888889,2.1277777777777778
2020-07-21,100.5,5.327700138092041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.6458333333334,926.5958333333332,909.4208333333332,912.6083333333332,17979.5,20303.9,18631.7,18755.2,19.5,18.73333333333333,18.175,19.1125,25.4,26.4,26.8,26.6,13.8,12.4,10.8,12.6,55.54166666666666,77.625,65.125,54.66666666666666,6.7,10.3,10.3,5.7,0.975,0.9708333333333332,0.8541666666666666,1.1
2020-07-22,108.3499984741211,5.1697998046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,908.8958333333334,926.2583333333332,908.9,911.9416666666666,17913.2,19905.8,16976.399999999998,18549.0,20.141666666666666,17.337500000000002,17.133333333333333,18.341666666666665,26.0,25.8,26.7,26.7,14.4,11.3,8.2,9.8,51.04166666666666,78.5,67.45833333333333,57.04166666666666,6.1,6.1,6.8,8.3,1.0666666666666669,0.9041666666666668,0.4166666666666667,1.35
2020-07-23,107.5,5.118100166320801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,909.575,926.9958333333334,909.3208333333332,912.4833333333332,17731.0,21901.7,18636.6,18530.0,19.254166666666663,16.875,17.029166666666665,19.383333333333333,25.0,25.3,26.1,26.9,13.6,11.3,9.4,11.5,56.958333333333336,74.125,63.54166666666666,55.16666666666666,6.9,8.5,7.2,9.6,1.525,1.5208333333333333,0.5166666666666667,1.933333333333333
2020-07-24,108.4000015258789,5.210599899291992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.9166666666666,927.8708333333334,909.5541666666668,912.9541666666668,18256.7,10279.3,18875.8,19085.5,18.04583333333333,15.7375,16.279166666666665,18.629166666666663,24.5,21.1,25.6,25.8,12.6,9.1,8.1,13.4,58.16666666666666,81.91666666666667,63.66666666666666,54.583333333333336,9.0,8.0,9.3,8.7,1.3291666666666666,1.6541666666666668,1.1291666666666669,2.3375
2020-07-27,110.4000015258789,5.229100227355957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,911.1041666666666,928.7527777777779,910.7027777777779,914.0916666666667,50890.5,56424.3,53444.2,48020.3,19.554166666666664,17.668055555555554,17.793055555555554,19.163888888888888,26.6,26.3,27.1,27.6,14.1,8.3,9.4,12.2,59.236111111111114,75.8611111111111,69.09722222222223,60.291666666666664,9.666666666666666,8.933333333333334,8.0,10.733333333333334,1.673611111111111,2.015277777777778,0.7722222222222221,2.0652777777777778
2020-07-28,109.6500015258789,5.141421794891357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.4166666666666,927.5416666666666,909.8916666666668,912.45,16276.9,22864.2,18081.9,16747.3,20.445833333333333,16.695833333333333,18.1125,19.466666666666665,27.7,25.2,28.0,27.8,14.5,11.1,10.8,12.2,60.333333333333336,76.79166666666667,67.54166666666667,60.833333333333336,8.3,7.4,8.9,9.0,1.1875,1.1291666666666669,1.2208333333333334,2.2125
2020-07-29,111.5999984741211,5.152299880981445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,909.1208333333334,926.8625,909.7708333333334,912.1625,16564.1,23743.6,14020.0,14505.9,21.575,17.845833333333335,18.65833333333333,20.933333333333334,28.6,26.4,28.4,28.7,16.7,8.7,11.7,15.2,53.79166666666666,70.875,64.45833333333333,53.75,9.0,7.5,6.4,7.0,1.4291666666666665,1.3958333333333333,0.4666666666666667,1.4791666666666667
2020-07-30,115.3499984741211,5.168799877166748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.2666666666668,928.0666666666666,910.0416666666666,914.2791666666668,15043.7,13625.5,16077.0,13727.7,18.266666666666666,18.258333333333333,18.8625,18.504166666666663,25.5,24.5,28.6,25.6,13.9,12.2,9.1,13.2,70.20833333333333,75.125,57.708333333333336,69.95833333333333,8.4,8.1,4.3,8.3,3.45,1.6166666666666665,0.2291666666666666,2.4708333333333337
2020-07-31,118.9499969482422,5.153900146484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.3666666666668,930.5416666666666,912.1583333333332,916.3625,17914.8,19019.1,17121.7,17044.600000000002,17.341666666666665,17.570833333333333,18.504166666666663,17.395833333333332,24.5,21.6,26.4,25.3,12.3,14.5,13.1,11.0,68.41666666666667,71.16666666666667,68.41666666666667,65.25,8.1,10.8,7.7,11.9,2.4541666666666666,3.516666666666667,0.5458333333333333,2.8166666666666664
