date,preco_cafe,cotacao_dolar,index,chuva,temp,temp_max,temp_min,umidade
2012-07-27,173.6999969482422,2.0201001167297363,208,0.0,18.57916666666667,26.4,11.0,55.583333333333336
2012-07-30,178.35000610351562,2.020900011062622,211,0.0,17.758333333333336,26.3,9.7,61.66666666666666
2012-07-31,174.39999389648438,2.040299892425537,212,0.0,17.541666666666668,23.8,12.2,67.66666666666667
2012-08-01,174.60000610351562,2.0566999912261963,213,0.0,16.758333333333333,22.2,12.4,74.25
2012-08-02,171.64999389648438,2.042099952697754,214,0.0,17.3,23.1,11.4,76.25
2012-08-03,173.8000030517578,2.0483999252319336,215,0.0,18.395833333333336,24.8,12.9,65.29166666666667
2012-08-06,175.5,2.0269999504089355,218,0.0,16.745833333333334,23.4,10.8,69.41666666666667
2012-08-07,172.64999389648438,2.0285000801086426,219,0.0,15.7375,23.9,8.8,66.375
2012-08-08,170.5,2.027100086212158,220,0.0,16.737500000000004,24.4,9.5,68.33333333333333
2012-08-09,166.4499969482422,2.0211000442504883,221,0.0,16.508333333333336,23.2,10.4,65.08333333333333
2012-08-10,166.25,2.0171000957489014,222,0.0,16.137500000000003,23.1,9.5,65.20833333333333
2012-08-13,164.10000610351562,2.0139000415802,225,0.0,18.654166666666665,25.5,13.3,61.833333333333336
2012-08-14,163.0500030517578,2.019700050354004,226,0.0,17.837500000000002,23.7,12.4,68.54166666666667
2012-08-15,161.89999389648438,2.0257999897003174,227,0.0,17.058333333333334,21.9,12.6,72.95833333333333
2012-08-16,158.85000610351562,2.0236001014709473,228,0.0,18.208333333333336,23.8,14.2,72.91666666666667
2012-08-17,160.3000030517578,2.0151000022888184,229,0.0,17.400000000000002,23.9,12.2,67.875
2012-08-20,161.1999969482422,2.0144999027252197,232,0.0,17.625000000000004,24.3,10.8,57.125
2012-08-21,160.64999389648438,2.0143001079559326,233,0.0,17.370833333333334,24.2,9.4,56.708333333333336
2012-08-22,158.9499969482422,2.0109000205993652,234,0.0,19.52083333333334,27.5,14.0,57.125
2012-08-23,160.25,2.0153000354766846,235,0.0,17.0125,24.5,10.2,60.54166666666666
2012-08-24,162.60000610351562,2.0227999687194824,236,0.0,18.416666666666668,25.3,12.0,64.95833333333333
2012-08-27,167.0500030517578,2.023099899291992,239,0.0,19.69166666666667,25.9,13.8,61.333333333333336
2012-08-28,167.75,2.0309998989105225,240,0.0,19.625,26.7,13.8,57.54166666666666
2012-08-29,166.39999389648438,2.0408999919891357,241,0.4,17.961904761904762,25.0,12.5,68.28571428571429
2012-08-30,163.0,2.046999931335449,242,0.0,17.42083333333333,24.6,9.7,60.125
2012-08-31,164.5500030517578,2.0455000400543213,243,0.0,17.141666666666666,26.1,8.9,62.25
2012-09-04,164.89999389648438,2.028599977493286,247,0.0,18.5625,26.2,11.8,63.375
2012-09-05,160.4499969482422,2.0367000102996826,248,0.0,18.50416666666667,27.1,11.8,68.45833333333333
2012-09-06,157.89999389648438,2.0362000465393066,249,0.0,20.67916666666667,28.7,12.7,55.375
2012-09-07,162.6999969482422,2.0250000953674316,250,0.0,21.7625,28.8,13.8,44.583333333333336
2012-09-10,173.39999389648438,2.0253000259399414,253,0.0,22.975,30.9,14.2,40.833333333333336
2012-09-11,177.25,2.0192999839782715,254,0.0,23.120833333333334,31.1,14.2,38.25
2012-09-12,177.14999389648438,2.011899948120117,255,0.0,23.75,33.4,14.1,38.625
2012-09-13,178.5,2.0237998962402344,256,0.0,24.0625,32.1,16.4,45.333333333333336
2012-09-14,180.8000030517578,2.018199920654297,257,0.0,21.6625,30.0,15.1,66.58333333333333
2012-09-17,175.0500030517578,2.0092999935150146,260,0.0,23.191666666666663,31.2,15.5,51.583333333333336
2012-09-18,177.39999389648438,2.0302999019622803,261,0.0,23.629166666666663,32.0,15.4,46.25
2012-09-19,174.39999389648438,2.01990008354187,262,0.0,25.379166666666663,33.6,15.4,34.875
2012-09-20,168.60000610351562,2.0215001106262207,263,2.6,20.808333333333334,26.8,18.3,74.25
2012-09-21,173.3000030517578,2.0181000232696533,264,18.6,19.375,26.5,14.8,80.625
2012-09-24,172.3000030517578,2.0188000202178955,267,4.0,18.4125,25.4,14.5,75.375
2012-09-25,173.64999389648438,2.0234999656677246,268,0.2,19.541666666666668,24.9,15.9,81.29166666666667
2012-09-26,169.4499969482422,2.0281999111175537,269,4.4,17.4125,21.9,11.7,83.54166666666667
2012-09-27,174.3000030517578,2.0332000255584717,270,0.0,12.379166666666665,22.3,4.4,63.583333333333336
2012-09-28,173.5,2.0269999504089355,271,0.0,14.504166666666668,23.1,7.2,52.41666666666666
2012-10-01,178.0500030517578,2.022599935531616,274,0.0,19.629166666666663,29.1,10.9,51.208333333333336
2012-10-02,183.64999389648438,2.0230000019073486,275,0.0,22.9125,31.6,14.6,43.833333333333336
2012-10-03,181.0500030517578,2.025099992752075,276,0.0,24.51666666666667,32.0,16.8,44.083333333333336
2012-10-04,175.0500030517578,2.018699884414673,277,0.0,23.258333333333336,31.0,15.1,49.91666666666666
2012-10-05,168.10000610351562,2.0160999298095703,278,0.0,23.75,30.4,16.4,47.54166666666666
2012-10-08,169.10000610351562,1.9974000453948975,281,0.0,21.7875,29.3,14.9,45.5
2012-10-09,165.3000030517578,2.028700113296509,282,0.0,21.654166666666665,28.8,13.8,50.04166666666666
2012-10-10,163.4499969482422,2.0306999683380127,283,0.0,22.32083333333333,30.5,14.6,47.16666666666666
2012-10-11,160.75,2.039400100708008,284,0.0,23.166666666666668,30.8,15.9,48.375
2012-10-12,161.6999969482422,2.039099931716919,285,22.8,21.3875,30.1,16.3,72.875
2012-10-15,160.85000610351562,2.0418999195098877,288,0.0,18.47083333333333,27.2,11.2,66.79166666666667
2012-10-16,162.8000030517578,2.0355000495910645,289,0.0,20.354166666666664,27.7,12.6,59.458333333333336
